QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MEDPCARY,MEDP_ARY,MEDPGFTC,MEDP_FTC,MEDPMTMO,MEDP_TMO,MEDPMTX,MEDPMTX_,MEDPCY1,MEDPCY1_,MEDPCY2,MEDPCY2_,MEDPCY3,MEDPCY3_,MEDPCY4,MEDPCY4_,MEDPCY5,MEDPCY5_,MEDPCY6,MEDPCY6_,MEDPCY7,MEDPCY7_,MEDPCY8,MEDPCY8_,MEDPCY9,MEDPCY9_,MEDPPRNT,MEDP_RNT,MEDPNOUT,MEDP_OUT
20222,04815114,23,0,1,200,D,1,D,03,D,2900,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815204,21,0,1,110,D,1,D,01,D,2629,T,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815204,22,0,1,330,D,1,D,01,D,5000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815204,23,0,1,200,D,1,D,01,D,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815204,24,0,1,420,D,1,D,02,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815204,25,0,1,620,D,1,D,13,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815264,29,0,1,420,D,1,D,02,D,240,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815264,30,0,1,420,D,1,D,03,D,240,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815264,31,0,1,110,D,1,D,03,D,460,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815264,32,0,1,330,D,1,D,03,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815264,33,0,1,620,D,1,D,13,D,220,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815264,34,0,1,510,D,1,D,03,D,420,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815334,7,0,1,620,D,1,D,13,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815384,9,0,2,120,D,1,D,01,D,317,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815404,18,0,1,420,D,1,D,13,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815404,19,0,1,620,D,1,D,13,D,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815434,10,0,1,620,D,1,D,13,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815474,25,0,1,200,D,1,D,02,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815474,26,0,1,200,D,1,D,03,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815474,27,0,1,610,D,1,D,01,D,1800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815614,17,0,1,110,D,1,D,03,D,273,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04815714,8,0,1,420,D,1,D,02,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
